name
Abdu, Said (FP)
Nylander, Christer (FP)
Nylund Watz, Ingela (S)
Nysmed, Leif (S)
Obminska, Marta (M)
Ohlsson, Birgitta (FP)
Ohlsson, Carina (S)
Olovsson, Fredrik (S)
Olsson, Kalle (S)
Olsson, Lotta (M)
Omanovic, Jasenko (S)
Oscarsson, Magnus (KD)
Oscarsson, Mikael (KD)
Ottoson, Erik (M)
Ottosson, Mattias (S)
Palm, Veronica (S)
Persson, Magnus (SD)
Persson, Mats (FP)
Persson, Peter (S)
Persson, Rickard (MP)
Petersson, Helene i Stockaryd (S)
Petersson, Jenny (M)
Pethrus, Désirée (KD)
Pettersson, Göran (M)
Pettersson, Helén i Umeå (S)
Pettersson, Leif (S)
Pettersson, Marianne (S)
Plass, Maria (M)
Polfjärd, Jessica (M)
Pärssinen, Raimo (S)
Qarlsson, Annika (C)
Quicklund, Saila (M)
Ramhorn, Per (SD)
Rasmusson, Magda (MP)
Redar, Lawen (S)
Reslow, Patrick (M)
Riazat, Daniel (V)
Richtoff, Roger (SD)
Riedl, Edward (M)
Rojhan Gustafsson, Azadeh (S)
Rosencrantz, Jessica (M)
Roswall, Jessika (M)
Rothenberg, Hans (M)
Rågsjö, Karin (V)
Schlyter, Carl (MP)
Schröder, Anders (MP)
Schulte, Fredrik (M)
Sestrajcic, Daniel (V)
Sjöstedt, Jonas (V)
Sjöstedt, Oscar (SD)
Skalberg Karlsson, Jesper (M)
Skalin, Johnny (SD)
Skånberg, Tuve (KD)
Sköld, Linus (S)
Sonidsson, Eva (S)
Staxäng, Lars-Arne (M)
Stenkvist, Robert (SD)
Stockhaus, Maria (M)
Strand, Thomas (S)
Strömkvist, Maria (S)
Ståhl, Jimmy (SD)
Stålhammar, Pernilla (MP)
Sundén Andersson, Lisbeth (M)
Sundin, Cassandra (SD)
Sundin, Mathias (FP)
Svantesson, Elisabeth (M)
Svantorp, Gunilla (S)
Svenneling, Håkan (V)
Svensson Smith, Karin (MP)
Svensson, Michael (M)
Svensson, Suzanne (S)
Sydow Mölleby, Mia (V)
von Sydow, Björn (S)
Szyber, Caroline (KD)
Sällström, Sven-Olof (SD)
Sätherberg, Anna-Caren (S)
Söder, Björn (SD)
Söder, Larry (KD)
Sörenson, Anna-Lena (S)
Tegnér, Mathias (S)
Tenfjord-Toftby, Cecilie (M)
Thalén Finné, Ewa (M)
Thorell, Olle (S)
Tobé, Tomas (M)
Tysklind, Lars (FP)
Töyrä, Emilia (S)
Ullenhag, Erik (FP)
Unander, Hans (S)
Utbult, Roland (KD)
Wallén, Anna (S)
Wallentheim, Anna (S)
Wallmark, Hans (M)
Wallrup, Emma (V)
Waltersson Grönvall, Camilla (M)
Warborn, Jörgen (M)
Weimer, Maria (FP)
Venegas, Marco (MP)
Westerén, Hanna (S)
Westerholm, Barbro (FP)
Vestlund, Börje (S)
Westlund, Åsa (S)
Widegren, Cecilia (M)
Widman, Allan (FP)
Wiechel, Björn (S)
Wiechel, Markus (SD)
Wigh, Hanna (SD)
Wiklander, Tony (SD)
Wykman, Niklas (M)
Völker, Alexandra (S)
Yngwe, Kristina (C)
Zander, Solveig (C)
Åberg, Boriana (M)
Åfeldt, Jennie (SD)
Åkerlund, Jonas (SD)
Åkesson, Anders (C)
Åkesson, Anette (M)
Åkesson, Jimmie (SD)
Åsling, Per (C)
Örnebjär, Christina (FP)
Örnfjäder, Krister (S)
Östberg, Christina (SD)
Öz, Emanuel (S)
