namn,parti,krets
Lena Hallengren,Socialdemokraterna,Kalmar län
Pia Hallström,Moderaterna,Värmlands län
Arhe Hamednaca,Socialdemokraterna,Stockholms kommun
Ann-Charlotte Hammar Johnsson,Moderaterna,Skåne läns västra
Krister Hammarbergh,Moderaterna,Norrbottens län
Robert Hannah,Folkpartiet,Göteborgs kommun
Anders Hansson,Moderaterna,Skåne läns södra
Johanna Haraldsson,Socialdemokraterna,Jönköpings län
Johan Hedin,Centerpartiet,Stockholms kommun
Roger Hedlund,Sverigedemokraterna,Stockholms län
Jörgen Hellman,Socialdemokraterna,Västra Götalands läns norra
Caroline Helmersson Olsson,Socialdemokraterna,Södermanlands län
Emma Henriksson,Kristdemokraterna,Stockholms län
Stig Henriksson,Vänsterpartiet,Västmanlands län
Carina Herrstedt,Sverigedemokraterna,Stockholms län
Annika Hirvonen,Miljöpartiet,Stockholms län
Lars Hjälmered,Moderaterna,Göteborgs kommun
Hans Hoff,Socialdemokraterna,Hallands län
Gustaf Hoffstedt,Moderaterna,Gotlands län
Christian Holm,Moderaterna,Värmlands län
Jens Holm,Vänsterpartiet,Stockholms kommun
Paula Holmqvist,Socialdemokraterna,Västra Götalands läns norra
Emma Hult,Miljöpartiet,Jönköpings län
Johan Hultberg,Moderaterna,Kronobergs län
Peter Hultqvist,Socialdemokraterna,Dalarnas län
Per-Arne Håkansson,Socialdemokraterna,Skåne läns norra och östra
Göran Hägglund,Kristdemokraterna,Hallands län
Kent Härstedt,Socialdemokraterna,Skåne läns västra
Berit Högman,Socialdemokraterna,Värmlands län
Christina Höj Larsen,Vänsterpartiet,Västernorrlands län
Jonas Jacobsson Gjörtler,Moderaterna,Skåne läns västra
Leif Jakobsson,Socialdemokraterna,Malmö kommun
Stefan Jakobsson,Sverigedemokraterna,Västmanlands län
Eva-Lena Jansson,Socialdemokraterna,Örebro län
Mikael Jansson,Sverigedemokraterna,Gävleborgs län
Peter Jeppsson,Socialdemokraterna,Blekinge län
Anna Johansson,Socialdemokraterna,Göteborgs kommun
Morgan Johansson,Socialdemokraterna,Skåne läns södra
Ola Johansson,Centerpartiet,Hallands län
Wiwi-Anne Johansson,Vänsterpartiet,Västra Götalands läns västra
Ylva Johansson,Socialdemokraterna,Stockholms kommun
Lotta Johnsson Fornarve,Vänsterpartiet,Södermanlands län
Per-Ingvar Johnsson,Centerpartiet,Skåne läns norra och östra
Peter Jonsson,Socialdemokraterna,Västra Götalands läns norra
Richard Jomshof,Sverigedemokraterna,Blekinge län
Anders W. Jonsson,Centerpartiet,Gävleborgs län
Mattias Jonsson,Socialdemokraterna,Göteborgs kommun
Håkan Juholt,Socialdemokraterna,Kalmar län
Ellen Juntti,Moderaterna,Västra Götalands läns västra
Carin Jämtin,Socialdemokraterna,Stockholms kommun
Johanna Jönsson,Centerpartiet,Stockholms kommun
Patrik Jönsson,Sverigedemokraterna,Skåne läns södra
Amineh Kakabaveh,Vänsterpartiet,Stockholms kommun
Annelie Karlsson,Socialdemokraterna,Skåne läns norra och östra
Maj Karlsson,Vänsterpartiet,Göteborgs kommun
Mattias Karlsson,Sverigedemokraterna,Värmlands län
Niklas Karlsson,Socialdemokraterna,Skåne läns västra
Sara Karlsson,Socialdemokraterna,Södermanlands län
Ulrika Karlsson,Moderaterna,Uppsala län
Yilmaz Kerimo,Socialdemokraterna,Stockholms län
Anna Kinberg Batra,Moderaterna,Stockholms län
Martin Kinnunen,Sverigedemokraterna,Göteborgs kommun
Per Klarberg,Sverigedemokraterna,Västra Götalands läns västra
Ulf Kristersson,Moderaterna,Södermanlands län
Julia Kronlid,Sverigedemokraterna,Stockholms län
Emil Källström,Centerpartiet,Västernorrlands län
Katarina Köhler,Socialdemokraterna,Västerbottens län
Birger Lahti,Vänsterpartiet,Norrbottens län
Hillevi Larsson,Socialdemokraterna,Malmö kommun
Jan-Olof Larsson,Socialdemokraterna,Västra Götalands läns västra
Margareta Larsson,Sverigedemokraterna,Västra Götalands läns östra
Rikard Larsson,Socialdemokraterna,Skåne läns södra
Yasmine Larsson,Socialdemokraterna,Skåne läns västra
Olof Lavesson,Moderaterna,Malmö kommun
Annika Lillemets,Miljöpartiet,Östergötlands län
Helena Lindahl,Centerpartiet,Västerbottens län
Hans Linde,Vänsterpartiet,Göteborgs kommun
Åsa Lindestam,Socialdemokraterna,Gävleborgs län
